"","HC1125","HC1139","HC1302","HC1313","HC188","HC221","HC294","HC326","HC376","HC382","HC78"
"glinternet WB_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l1_log_reg WB_only",0.614958448753463,0.526826115061409,0.836296056884292,0.554659498207885,0.635940680430358,0.803021561981683,0.732548476454294,0.705413105413105,0.676731301939058,0.635611750166366,0.597977528089888
"pretrained_lasso WB_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glinternet WB_SA",0.638504155124654,0.574660633484163,0.834033613445378,0.631123058542413,0.659494038964815,0.814379462032163,0.746398891966759,0.717758784425451,0.736565096952909,0.651963114364483,0.70247191011236
"l1_log_reg WB_SA",0.614819944598338,0.48125404007757,0.834356819650937,0.662933094384707,0.629107298633324,0.80244465277277,0.733102493074792,0.70332383665717,0.688227146814404,0.623633425230535,0.611573033707865
"pretrained_lasso WB_SA",0.648891966759003,0.603102779573368,0.5,0.598566308243728,0.634922942715906,0.5,0.719806094182825,0.5,0.660387811634349,0.644595493868238,0.5
"glinternet SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l1_log_reg SA",0.5,0.5,0.747737556561086,0.5,0.5,0.782036489507464,0.682894736842105,0.674643874643875,0.705678670360111,0.5,0.705561797752809
"pretrained_lasso SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
